Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,,Player2,Salary1,,,
1,Joel Embiid,29,PHI,C,39,39,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,0.883,2.4,8.6,11,5.6,1.2,1.7,3.8,2.9,34.7,51415938.00,,Stephen Curry,55761217.00,,,
2,Luka Dončić,24,DAL,PG,70,70,37.5,11.5,23.6,0.487,4.1,10.6,0.382,7.4,13,0.573,0.573,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4,2.1,33.9,43031940.00,,Nikola Jokic,"$51,415,938 ",,,
3,Giannis Antetokounmpo,29,MIL,PF,73,73,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11,17.1,0.645,0.624,7,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,48787676.00,,Joel Embiid,"$51,415,938 ",,,
4,Shai Gilgeous-Alexander,25,OKC,PG,75,75,34,10.6,19.8,0.535,1.3,3.6,0.353,9.3,16.2,0.576,0.567,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2,0.9,2.2,2.5,30.1,35859950.00,,Kevin Durant,"$51,179,020 ",,,
5,Jalen Brunson,27,NYK,PG,77,77,35.4,10.3,21.4,0.479,2.7,6.8,0.401,7.5,14.6,0.516,0.543,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7,24960001.00,,Bradley Beal,"$50,203,930 ",,,
6,Devin Booker,27,PHO,PG,68,68,36,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13,0.552,0.55,6,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3,27.1,49205800.00,,Jaylen Brown,"$49,205,800 ",,,
7,Kevin Durant,35,PHO,PF,75,75,37.2,10,19.1,0.523,2.2,5.4,0.413,7.8,13.7,0.567,0.581,4.8,5.6,0.856,0.5,6.1,6.6,5,0.9,1.2,3.3,1.8,27.1,51179020.00,,Karl-Anthony Towns,"$49,205,800 ",,,
8,Jayson Tatum,25,BOS,PF,74,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6,11,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1,0.6,2.5,2,26.9,34848340.00,,Devin Booker,"$49,205,800 ",,,
9,De'Aaron Fox,26,SAC,PG,74,74,35.9,9.7,20.9,0.465,2.9,7.8,0.369,6.8,13.1,0.522,0.534,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2,0.4,2.6,2.6,26.6,34848340.00,,Paul George,"$49,205,800 ",,,
10,Donovan Mitchell,27,CLE,SG,55,55,35.3,9.1,19.8,0.462,3.3,9,0.368,5.8,10.8,0.539,0.545,5,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6,35410310.00,,Kawhi Leonard,"$49,205,800 ",,,
11,Stephen Curry,35,GSW,PG,74,74,32.7,8.8,19.5,0.45,4.8,11.8,0.408,4,7.7,0.515,0.573,4,4.4,0.923,0.5,4,4.5,5.1,0.7,0.4,2.8,1.6,26.4,55761217.00,,Jimmy Butler,"$48,798,677 ",,,
12,Nikola Jokić,28,DEN,C,79,79,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9,1.4,0.9,3,2.5,26.4,51415938.00,,Damian Lillard,"$48,787,676 ",,,
13,Anthony Edwards,22,MIN,SG,79,78,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,42176400.00,,Giannis Antetokounmpo,"$48,787,676 ",,,
14,Tyrese Maxey,23,PHI,PG,70,70,37.5,9.1,20.3,0.45,3,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1,0.5,1.7,2.2,25.9,35147000.00,,LeBron James,"$48,728,845 ",,,
15,LeBron James,39,LAL,PF,71,71,35.3,9.6,17.9,0.54,2.1,5.1,0.41,7.5,12.8,0.592,0.599,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7,48728845.00,,Zach LaVine,"$44,531,940 ",,,
16,Trae Young,25,ATL,PG,54,54,36,8,18.7,0.43,3.2,8.7,0.373,4.8,10,0.479,0.516,6.4,7.5,0.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,2,25.7,43031940.00,,Rudy Gobert,"$43,827,586 ",,,
17,Kyrie Irving,31,DAL,SG,58,58,35,9.7,19.5,0.497,3,7.3,0.411,6.7,12.2,0.548,0.573,3.3,3.6,0.905,0.8,4.2,5,5.2,1.3,0.5,1.8,1.9,25.6,41000000.00,,Anthony Davis,"$43,219,440 ",,,
18,Ja Morant,24,MEM,PG,9,9,35.3,8.9,18.9,0.471,1.6,5.7,0.275,7.3,13.2,0.555,0.512,5.8,7.1,0.813,0.7,4.9,5.6,8.1,0.8,0.6,3,2.1,25.1,36725670.00,,Trae Young,"$43,031,940 ",,,
19,Anthony Davis,30,LAL,C,76,76,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9,15.5,0.582,0.567,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,43219440.00,,Luka Doncic,"$43,031,940 ",,,
20,Damian Lillard,33,MIL,PG,73,73,35.3,7.4,17.5,0.424,3,8.5,0.354,4.4,9,0.49,0.51,6.5,7,0.92,0.5,3.9,4.4,7,1,0.2,2.6,1.8,24.3,48787676.00,,Fred VanVleet,"$42,846,615 ",,,
21,DeMar DeRozan,34,CHI,SF,79,79,37.8,8.2,17.2,0.48,0.9,2.8,0.333,7.3,14.3,0.509,0.507,6.6,7.7,0.853,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2,24,23400000.00,,Lauri Markkanen,"$42,176,400 ",,,
22,Julius Randle,29,NYK,PF,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24,31695840.00,,Tyrese Haliburton,"$42,176,400 ",,,
23,LaMelo Ball,22,CHO,PG,22,22,32.3,8.3,19.2,0.433,3.2,9,0.355,5.1,10.3,0.5,0.515,4.1,4.7,0.865,1.3,3.8,5.1,8,1.8,0.2,3.8,3.6,23.9,35147000.00,,Pascal Siakam,"$42,176,400 ",,,
24,Desmond Bane,25,MEM,SG,42,42,34.4,8.6,18.5,0.464,3.3,8.6,0.381,5.3,9.9,0.536,0.552,3.3,3.8,0.87,0.9,3.5,4.4,5.5,1,0.5,2.7,2.9,23.7,34005250.00,,Anthony Edwards,"$42,176,400 ",,,
25,Kawhi Leonard,32,LAC,SF,68,68,34.3,9,17.1,0.525,2.1,4.9,0.417,6.9,12.1,0.569,0.585,3.7,4.2,0.885,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,23.7,49205800.00,,Kyrie Irving,"$41,000,000 ",,,
26,Lauri Markkanen,26,UTA,PF,55,55,33.1,7.8,16.2,0.48,3.2,8,0.399,4.6,8.2,0.559,0.578,4.5,5,0.899,2.2,5.9,8.2,2,0.9,0.5,1.4,1.8,23.2,42176400.00,,Domantas Sabonis,"$40,500,000 ",,,
27,Jaylen Brown,27,BOS,SF,70,70,33.5,9,17.9,0.499,2.1,5.9,0.354,6.9,12.1,0.57,0.557,3,4.3,0.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6,23,49205800.00,,Ben Simmons,"$40,338,144 ",,,
28,Zion Williamson,23,NOP,PF,70,70,31.5,8.9,15.6,0.57,0.1,0.3,0.333,8.8,15.4,0.574,0.573,5,7.1,0.702,1.7,4.1,5.8,5,1.1,0.7,2.8,2.3,22.9,36725670.00,,Darius Garland,"$36,725,670 ",,,
29,Cade Cunningham,22,DET,PG,62,62,33.5,8.5,18.8,0.449,1.9,5.4,0.355,6.5,13.4,0.487,0.5,3.8,4.4,0.869,0.5,3.8,4.3,7.5,0.9,0.4,3.4,2.5,22.7,13940809.00,,Ja Morant,"$36,725,670 ",,,
30,Paolo Banchero,21,ORL,PF,80,80,35,8,17.6,0.455,1.5,4.4,0.339,6.5,13.2,0.493,0.497,5.1,7,0.725,1,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6,12160800.00,,Zion Williamson,"$36,725,670 ",,,
31,Paul George,33,LAC,PF,74,74,33.8,7.9,16.7,0.471,3.3,7.9,0.413,4.6,8.8,0.523,0.569,3.6,3.9,0.907,0.5,4.7,5.2,3.5,1.5,0.5,2.1,2.7,22.6,49205800.00,,OG Anunoby,"$36,637,932 ",,,
32,Anfernee Simons,24,POR,SG,46,46,34.4,7.8,18.2,0.43,3.4,8.8,0.385,4.4,9.4,0.472,0.523,3.5,3.9,0.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,22.6,25892857.00,,Jamal Murray,"$36,016,200 ",,,
33,Jaren Jackson Jr.,24,MEM,C,66,66,32.2,7.8,17.6,0.444,1.8,5.5,0.32,6,12.1,0.501,0.494,5.1,6.3,0.808,1.3,4.2,5.5,2.3,1.2,1.6,2.4,3.6,22.5,25257798.00,,Brandon Ingram,"$36,016,200 ",,,
34,Dejounte Murray,27,ATL,SG,78,78,35.7,8.6,18.8,0.459,2.6,7.1,0.363,6,11.7,0.518,0.528,2.7,3.4,0.794,0.8,4.5,5.3,6.4,1.4,0.3,2.6,1.8,22.5,29517134.00,,Michael Porter,"$35,859,950 ",,,
35,Cam Thomas,22,BRK,SG,66,51,31.4,8,18,0.442,2.2,6,0.364,5.8,12,0.481,0.503,4.3,5.1,0.856,0.4,2.8,3.2,2.9,0.7,0.2,1.9,2.1,22.5,4041249.00,,Shai Gilgeous-Alexander,"$35,859,950 ",,,
36,Kyle Kuzma,28,WAS,PF,70,70,32.6,8.7,18.8,0.463,2.2,6.4,0.336,6.5,12.3,0.53,0.521,2.7,3.4,0.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,22.2,23856060.00,,Donovan Mitchell,"$35,410,310 ",,,
37,Karl-Anthony Towns,28,MIN,PF,62,62,32.7,7.7,15.3,0.504,2.2,5.3,0.416,5.5,10.1,0.55,0.575,4.1,4.7,0.873,1.5,6.8,8.3,3,0.7,0.7,2.9,3.3,21.8,49205800.00,,LaMelo Ball,"$35,147,000 ",,,
38,Pascal Siakam,29,2TM,PF,80,80,33.2,8.5,15.9,0.536,1.1,3.1,0.346,7.5,12.8,0.581,0.569,3.6,5,0.732,1.7,5.3,7.1,4.3,0.8,0.3,1.8,2.4,21.7,42176400.00,,Tyrese Maxey,"$35,147,000 ",,,
38,Pascal Siakam,29,TOR,PF,39,39,34.7,8.3,16,0.522,1.2,3.7,0.317,7.2,12.3,0.584,0.559,4.3,5.7,0.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2,42176400.00,,Jayson Tatum,"$34,848,340 ",,,
38,Pascal Siakam,29,IND,PF,41,41,31.8,8.7,15.8,0.549,1,2.5,0.386,7.7,13.3,0.58,0.579,3,4.2,0.699,2.1,5.7,7.8,3.7,0.8,0.4,1.4,2.6,21.3,42176400.00,,Bam Adebayo,"$34,848,340 ",,,
39,Victor Wembanyama,20,SAS,C,71,71,29.7,7.8,16.7,0.465,1.8,5.5,0.325,6,11.2,0.534,0.519,4.1,5.2,0.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4,12768664.00,,De'Aaron Fox,"$34,848,340 ",,,
40,Jamal Murray,26,DEN,PG,59,59,31.5,8,16.7,0.481,2.5,5.8,0.425,5.6,10.9,0.51,0.554,2.7,3.1,0.853,0.7,3.4,4.1,6.5,1,0.7,2.1,1.8,21.2,36016200.00,,Desmond Bane,"$34,005,250 ",,,
41,Alperen Şengün,21,HOU,C,63,63,32.5,8.4,15.6,0.537,0.5,1.8,0.297,7.8,13.8,0.567,0.553,3.9,5.6,0.693,2.9,6.4,9.3,5,1.2,0.7,2.6,3.3,21.1,5424654.00,,Deandre Ayton,"$34,005,126 ",,,
42,Miles Bridges,25,CHO,SF,69,67,37.4,8.1,17.5,0.462,2.3,6.5,0.349,5.8,11,0.529,0.527,2.5,3.1,0.825,1,6.3,7.3,3.3,0.9,0.5,2,1.7,21,27173913.00,,James Harden,"$33,653,846 ",,,
43,Jerami Grant,29,POR,PF,54,54,33.9,7.1,15.7,0.451,2.1,5.1,0.402,5,10.6,0.474,0.516,4.7,5.8,0.817,0.7,2.9,3.5,2.8,0.8,0.6,2.1,2.2,21,29793104.00,,CJ McCollum,"$33,333,333 ",,,
44,Jimmy Butler,34,MIA,PF,60,60,34,6.6,13.2,0.499,1,2.4,0.414,5.6,10.8,0.519,0.537,6.6,7.7,0.858,1.8,3.6,5.3,5,1.3,0.3,1.7,1.1,20.8,48798677.00,,Immanuel Quickley,"$32,500,000 ",,,
45,Tyler Herro,24,MIA,SG,42,40,33.5,7.7,17.5,0.441,3.1,7.9,0.396,4.6,9.6,0.478,0.531,2.3,2.6,0.856,0.5,4.8,5.3,4.5,0.7,0.1,2.2,1.5,20.8,29000000.00,,Julius Randle,"$31,695,840 ",,,
46,Brandon Ingram,26,NOP,SF,64,64,32.9,7.8,15.9,0.492,1.3,3.8,0.355,6.5,12.1,0.534,0.534,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8,36016200.00,,Khris Middleton,"$31,000,000 ",,,
47,RJ Barrett,23,2TM,SG,58,58,31.7,7.5,15.2,0.495,1.6,4.3,0.36,6,10.9,0.549,0.547,3.6,5,0.715,0.9,4.5,5.4,3.3,0.5,0.4,2.2,2.2,20.2,25794643.00,,Jrue Holiday,"$30,000,000 ",,,
47,RJ Barrett,23,NYK,SG,26,26,29.5,6.3,14.9,0.423,1.7,5,0.331,4.7,9.9,0.469,0.478,4,4.8,0.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2,25794643.00,,Isaiah Hartenstein,"$30,000,000 ",,,
47,RJ Barrett,23,TOR,SG,32,32,33.5,8.5,15.4,0.553,1.5,3.8,0.392,7,11.6,0.605,0.601,3.3,5.2,0.629,1.1,5.3,6.4,4.1,0.6,0.4,2.5,2.6,21.8,25794643.00,,Jerami Grant,"$29,793,104 ",,,
48,Tyrese Haliburton,23,IND,PG,69,68,32.2,7.2,15.2,0.477,2.8,7.8,0.364,4.4,7.4,0.595,0.57,2.8,3.3,0.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.1,42176400.00,,Jordan Poole,"$29,651,786 ",,,
49,Kristaps Porziņģis,28,BOS,C,57,57,29.6,6.8,13.2,0.516,1.9,5.1,0.375,4.9,8.1,0.606,0.589,4.5,5.3,0.858,1.7,5.5,7.2,2,0.7,1.9,1.6,2.7,20.1,29268293.00,,Dejounte Murray,"$29,517,134 ",,,
50,CJ McCollum,32,NOP,PG,66,66,32.7,7.3,16,0.459,3.6,8.4,0.429,3.7,7.5,0.492,0.572,1.7,2.1,0.827,0.6,3.7,4.3,4.6,0.9,0.6,1.7,1.9,20,33333333.00,,Devin Vassell,"$29,347,826 ",,,
51,Scottie Barnes,22,TOR,SG,60,60,34.9,7.5,15.7,0.475,1.7,4.9,0.341,5.8,10.8,0.536,0.528,3.3,4.2,0.781,2.4,5.9,8.2,6.1,1.3,1.5,2.8,2,19.9,10130980.00,,Kristaps Porzingis,"$29,268,293 ",,,
52,Terry Rozier,29,2TM,SG,61,60,33.4,7.2,16.4,0.443,2.4,6.7,0.363,4.8,9.6,0.498,0.518,2.8,3.2,0.869,0.6,3.5,4,5.6,1,0.3,1.7,1.7,19.8,24924126.00,,Tyler Herro,"$29,000,000 ",,,
52,Terry Rozier,29,CHO,SG,30,30,35.5,8.4,18.3,0.459,2.8,7.7,0.358,5.6,10.6,0.533,0.535,3.6,4.3,0.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2,24924126.00,,Nicolas Claxton,"$27,556,817 ",,,
52,Terry Rozier,29,MIA,PG,31,30,31.5,6.1,14.5,0.423,2.1,5.7,0.371,4,8.7,0.458,0.497,2,2.2,0.913,0.6,3.6,4.2,4.6,1,0.3,1.3,1.6,16.4,24924126.00,,Miles Bridges,"$27,173,913 ",,,
53,Franz Wagner,22,ORL,SF,72,72,32.5,7.3,15.2,0.482,1.3,4.6,0.281,6,10.6,0.57,0.525,3.8,4.4,0.85,1,4.3,5.3,3.7,1.1,0.4,1.9,2.3,19.7,7007092.00,,John Collins,"$26,580,000 ",,,
54,Mikal Bridges,27,BRK,SF,82,82,34.8,6.9,15.8,0.436,2.7,7.2,0.372,4.2,8.6,0.49,0.521,3.1,3.9,0.814,0.8,3.7,4.5,3.6,1,0.4,2,1.4,19.6,23300000.00,,Andrew Wiggins,"$26,276,786 ",,,
55,Jalen Green,21,HOU,SG,82,82,31.7,6.9,16.2,0.423,2.5,7.4,0.332,4.4,8.9,0.498,0.498,3.5,4.3,0.804,0.5,4.7,5.2,3.5,0.8,0.3,2.3,1.4,19.6,12483048.00,,Anfernee Simons,"$25,892,857 ",,,
56,Zach LaVine,28,CHI,SG,25,23,34.9,6.8,15,0.452,2.4,6.8,0.349,4.4,8.3,0.536,0.531,3.5,4.1,0.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,44531940.00,,RJ Barrett,"$25,794,643 ",,,
57,Devin Vassell,23,SAS,SG,68,62,33.1,7.3,15.5,0.472,2.4,6.6,0.372,4.9,9,0.544,0.55,2.4,3,0.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1,19.5,29347826.00,,Tobias Harris,"$25,365,854 ",,,
58,Domantas Sabonis,27,SAC,C,82,82,35.7,7.7,13,0.594,0.4,1.1,0.379,7.3,12,0.613,0.609,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3,19.4,40500000.00,,Jaren Jackson Jr,"$25,257,798 ",,,
59,Bam Adebayo,26,MIA,C,71,71,34,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,34848340.00,,Jonathan Isaac,"$25,000,000 ",,,
60,Coby White,23,CHI,PG,79,78,36.5,6.8,15.3,0.447,2.6,7,0.376,4.2,8.3,0.508,0.534,2.8,3.3,0.838,0.6,4,4.5,5.1,0.7,0.2,2.1,2.4,19.1,12000000.00,,Jalen Brunson,"$24,960,001 ",,,
61,Jalen Williams,22,OKC,PF,71,71,31.3,7.5,14,0.54,1.5,3.4,0.427,6.1,10.6,0.576,0.592,2.5,3.1,0.814,0.5,3.5,4,4.5,1.1,0.6,1.7,2.5,19.1,4775760.00,,Terry Rozier,"$24,924,126 ",,,
62,Collin Sexton,25,UTA,SG,78,51,26.6,6.5,13.3,0.487,1.6,4.2,0.394,4.8,9.1,0.53,0.549,4.1,4.7,0.859,0.9,1.7,2.6,4.9,0.8,0.2,2.1,2,18.7,18350000.00,,Draymond Green,"$24,107,143 ",,,
63,Bradley Beal,30,PHO,SG,53,53,33.3,7.1,13.9,0.513,1.9,4.4,0.43,5.2,9.4,0.552,0.582,2.1,2.5,0.813,1,3.4,4.4,5,1,0.5,2.5,2.4,18.2,50203930.00,,Kyle Kuzma,"$23,856,060 ",,,
64,Darius Garland,24,CLE,PG,57,57,33.4,6.6,14.8,0.446,2.3,6.2,0.371,4.3,8.5,0.501,0.524,2.6,3.1,0.834,0.5,2.1,2.7,6.5,1.3,0.1,3.1,1.7,18,36725670.00,,DeMar DeRozan,"$23,400,000 ",,,
65,D'Angelo Russell,27,LAL,PG,76,69,32.7,6.5,14.2,0.456,3,7.2,0.415,3.5,7,0.497,0.56,2.1,2.5,0.828,0.4,2.7,3.1,6.3,0.9,0.5,2.1,2.1,18,18692307.00,,Mikal Bridges,"$23,300,000 ",,,
66,Nikola Vučević,33,CHI,C,76,74,34.3,7.7,15.9,0.484,1.2,4.1,0.294,6.5,11.8,0.55,0.522,1.4,1.7,0.822,2.8,7.8,10.5,3.3,0.7,0.8,1.6,2.5,18,20000000.00,,Jaden McDaniels,"$23,017,242 ",,,
67,Klay Thompson,33,GSW,SF,77,63,29.7,6.4,14.7,0.432,3.5,9,0.387,2.9,5.7,0.503,0.551,1.6,1.8,0.927,0.5,2.8,3.3,2.3,0.6,0.5,1.5,1.6,17.9,15873016.00,,Brook Lopez,"$23,000,000 ",,,
68,Jordan Poole,24,WAS,SG,78,66,30.1,6.3,15.2,0.413,2.4,7.2,0.326,3.9,8,0.492,0.491,2.5,2.8,0.877,0.4,2.3,2.7,4.4,1.1,0.3,2.4,3.1,17.4,29651786.00,,Bruce Brown,"$23,000,000 ",,,
69,Fred VanVleet,29,HOU,PG,73,73,36.8,5.8,13.9,0.416,3.1,8,0.387,2.7,5.9,0.454,0.527,2.7,3.1,0.86,0.5,3.4,3.8,8.1,1.4,0.8,1.7,2.5,17.4,42846615.00,,Aaron Gordon,"$22,841,455 ",,,
70,Brandon Miller,21,CHO,SF,74,68,32.2,6.4,14.6,0.44,2.5,6.7,0.373,3.9,8,0.495,0.524,1.9,2.3,0.827,0.8,3.4,4.3,2.4,0.9,0.6,1.8,2.5,17.3,11424382.00,,Kentavious Caldwell-Pope,"$22,757,000 ",,,
